Gm#,Date,Tm,D/N,Attendance
7,Friday Apr 13,BOS,D,37032
8,Saturday Apr 14,BOS,D,38024
9,Sunday Apr 15,BOS,D,38024
10,Monday Apr 16,BOS,D,38108
11,Tuesday Apr 17,BOS,N,38229
12,Wednesday Apr 18,BOS,N,37967
13,Friday Apr 20,BOS,D,36770
14,Saturday Apr 21,BOS,D,37839
22,Monday Apr 30,BOS,N,37359
23,Tuesday May 1,BOS,N,37225
24,Wednesday May 2,BOS,N,37434
25,Friday May 4,BOS,N,37223
26,Saturday May 5,BOS,D,37581
27,Sunday May 6,BOS,D,37394
31,Thursday May 10,BOS,N,37348
32,Friday May 11,BOS,N,37438
33,Saturday May 12,BOS,N,38048
34,Sunday May 13,BOS,D,37611
35,Monday May 14,BOS,N,37334
36,Tuesday May 15,BOS,D,37292
45,Friday May 25,BOS,N,37594
46,Saturday May 26,BOS,N,38099
47,Sunday May 27,BOS,D,37844
48,Monday May 28,BOS,D,37921
49,Tuesday May 29,BOS,N,37216
50,Wednesday May 30,BOS,N,37195
51,Thursday May 31,BOS,N,37629
55,Tuesday Jun 5,BOS,N,37181
56,Wednesday Jun 6,BOS,N,37243
57,Thursday Jun 7,BOS,N,37307
58,Friday Jun 8,BOS,N,37309
59,Saturday Jun 9,BOS,D,37534
60,Sunday Jun 10,BOS,D,37467
67,Tuesday Jun 19,BOS,N,37701
68,Wednesday Jun 20,BOS,N,37362
69,Thursday Jun 21,BOS,N,37261
70,Friday Jun 22,BOS,N,37281
71,Saturday Jun 23,BOS,N,37782
72,Sunday Jun 24,BOS,D,37565
73,Monday Jun 25,BOS,N,37208
74,Tuesday Jun 26,BOS,N,37755
75,Wednesday Jun 27,BOS,D,37744
83,Friday Jul 6,BOS,N,38066
84,Saturday Jul 7 (1),BOS,D,38170
85,Saturday Jul 7 (2),BOS,N,37791
86,Sunday Jul 8,BOS,N,38270
90,Monday Jul 16,BOS,N,38334
91,Tuesday Jul 17,BOS,N,37771
92,Wednesday Jul 18,BOS,N,37367
93,Thursday Jul 19,BOS,N,38413
94,Friday Jul 20,BOS,N,38093
95,Saturday Jul 21,BOS,N,38170
96,Sunday Jul 22,BOS,D,37737
103,Monday Jul 30,BOS,N,37784
104,Tuesday Jul 31,BOS,N,37275
105,Wednesday Aug 1,BOS,N,37213
106,Thursday Aug 2,BOS,N,37191
107,Friday Aug 3,BOS,N,37285
108,Saturday Aug 4,BOS,N,37914
109,Sunday Aug 5,BOS,D,37019
110,Monday Aug 6,BOS,N,37316
111,Tuesday Aug 7,BOS,N,38416
112,Wednesday Aug 8,BOS,D,37716
123,Tuesday Aug 21,BOS,N,37794
124,Wednesday Aug 22,BOS,N,37373
125,Thursday Aug 23,BOS,N,37829
126,Friday Aug 24,BOS,N,37228
127,Saturday Aug 25,BOS,N,37103
128,Sunday Aug 26,BOS,D,37188
129,Monday Aug 27,BOS,D,37506
139,Friday Sep 7,BOS,N,37156
140,Saturday Sep 8,BOS,N,37107
141,Sunday Sep 9,BOS,D,37226
142,Tuesday Sep 11,BOS,N,37437
143,Wednesday Sep 12,BOS,N,37230
144,Thursday Sep 13,BOS,N,38134
152,Friday Sep 21,BOS,N,37731
153,Saturday Sep 22,BOS,D,37570
154,Sunday Sep 23,BOS,D,37310
155,Tuesday Sep 25,BOS,N,37045
156,Wednesday Sep 26,BOS,N,37247
1,Thursday Apr 5,CHC,D,41176
2,Saturday Apr 7,CHC,D,40102
3,Sunday Apr 8,CHC,D,31973
4,Monday Apr 9,CHC,N,38136
5,Tuesday Apr 10,CHC,N,37265
6,Wednesday Apr 11,CHC,D,34044
7,Thursday Apr 12,CHC,D,36311
14,Friday Apr 20,CHC,D,37782
15,Saturday Apr 21,CHC,D,38405
16,Sunday Apr 22,CHC,D,35801
17,Monday Apr 23,CHC,N,37794
18,Tuesday Apr 24,CHC,N,38894
19,Wednesday Apr 25,CHC,D,34894
26,Friday May 4,CHC,D,37332
27,Saturday May 5,CHC,D,39874
28,Sunday May 6,CHC,D,38125
29,Monday May 7,CHC,N,36307
30,Tuesday May 8,CHC,N,38523
31,Wednesday May 9,CHC,D,31904
