Gm#,Date,Tm,Attendance
7,Monday Apr 10,CHC,41166
8,Wednesday Apr 12,CHC,40844
9,Thursday Apr 13,CHC,38379
10,Friday Apr 14,CHC,40430
11,Saturday Apr 15,CHC,41814
12,Sunday Apr 16,CHC,39422
13,Monday Apr 17,CHC,38636
14,Tuesday Apr 18,CHC,39026
15,Wednesday Apr 19,CHC,34864
25,Monday May 1,CHC,38567
26,Tuesday May 2,CHC,38660
27,Wednesday May 3,CHC,39335
28,Thursday May 4,CHC,36394
29,Friday May 5,CHC,40395
30,Saturday May 6,CHC,40735
31,Sunday May 7,CHC,40584
38,Tuesday May 16,CHC,40653
39,Wednesday May 17,CHC,38715
40,Thursday May 18,CHC,36023
41,Friday May 19,CHC,36923
42,Sunday May 21,CHC,41671
43,Monday May 22,CHC,36204
44,Tuesday May 23,CHC,32905
45,Wednesday May 24,CHC,35617
46,Thursday May 25,CHC,37513
53,Friday Jun 2,CHC,41051
54,Saturday Jun 3,CHC,41164
55,Sunday Jun 4,CHC,39868
56,Monday Jun 5,CHC,34037
57,Tuesday Jun 6,CHC,34082
58,Wednesday Jun 7,CHC,37294
59,Thursday Jun 8,CHC,39385
60,Friday Jun 9,CHC,41229
61,Saturday Jun 10,CHC,41226
62,Sunday Jun 11,CHC,41116
69,Monday Jun 19,CHC,40802
70,Tuesday Jun 20,CHC,41607
71,Wednesday Jun 21,CHC,41708
83,Tuesday Jul 4,CHC,42046
84,Wednesday Jul 5,CHC,39855
85,Thursday Jul 6,CHC,41576
86,Friday Jul 7,CHC,41294
87,Saturday Jul 8,CHC,41865
88,Sunday Jul 9,CHC,41604
95,Friday Jul 21,CHC,42186
96,Saturday Jul 22,CHC,41969
97,Sunday Jul 23,CHC,41582
98,Monday Jul 24,CHC,40849
99,Tuesday Jul 25,CHC,40717
105,Tuesday Aug 1,CHC,40709
106,Wednesday Aug 2,CHC,41321
107,Thursday Aug 3,CHC,39525
108,Friday Aug 4,CHC,41396
109,Saturday Aug 5,CHC,41857
110,Sunday Aug 6,CHC,41047
117,Monday Aug 14,CHC,40263
118,Tuesday Aug 15,CHC,36698
119,Wednesday Aug 16,CHC,37021
120,Thursday Aug 17,CHC,38675
121,Friday Aug 18,CHC,41814
122,Saturday Aug 19,CHC,41558
123,Sunday Aug 20,CHC,41459
130,Monday Aug 28,CHC,38453
131,Tuesday Aug 29,CHC,37370
132,Wednesday Aug 30,CHC,36628
133,Thursday Aug 31,CHC,38031
134,Friday Sep 1,CHC,37280
135,Saturday Sep 2,CHC,41329
136,Sunday Sep 3,CHC,42145
141,Friday Sep 8,CHC,41020
142,Saturday Sep 9,CHC,41167
143,Sunday Sep 10,CHC,40113
144,Tuesday Sep 12,CHC,37834
145,Wednesday Sep 13,CHC,36008
146,Thursday Sep 14,CHC,37867
147,Friday Sep 15,CHC,38464
148,Saturday Sep 16,CHC,40959
149,Sunday Sep 17,CHC,37242
160,Friday Sep 29,CHC,36258
161,Saturday Sep 30,CHC,41493
162,Sunday Oct 1,CHC,40971
1,Monday Apr 3,BOS,36594
2,Wednesday Apr 5,BOS,36137
7,Tuesday Apr 11,BOS,37497
8,Wednesday Apr 12,BOS,32211
9,Thursday Apr 13,BOS,32400
10,Friday Apr 14,BOS,36813
11,Saturday Apr 15,BOS,36686
12,Sunday Apr 16,BOS,36209
13,Monday Apr 17,BOS,37318
20,Wednesday Apr 26,BOS,32072
21,Thursday Apr 27,BOS,34054
22,Friday Apr 28,BOS,37054
23,Saturday Apr 29,BOS,36776
24,Sunday Apr 30,BOS,36916
25,Monday May 1,BOS,33489
26,Tuesday May 2,BOS,32932
27,Wednesday May 3,BOS,33162
28,Thursday May 4,BOS,36563
35,Friday May 12,BOS,36496
36,Saturday May 13,BOS,35447
37,Sunday May 14,BOS,35080
44,Tuesday May 23,BOS,34769
45,Wednesday May 24,BOS,36089
46,Thursday May 25,BOS,33484
47,Friday May 26,BOS,35080
48,Saturday May 27,BOS,36985
49,Sunday May 28,BOS,37174
60,Friday Jun 9,BOS,36853
61,Saturday Jun 10,BOS,37162
62,Sunday Jun 11,BOS,35457
63,Monday Jun 12,BOS,36757
64,Tuesday Jun 13,BOS,37141
73,Friday Jun 23,BOS,37034
74,Saturday Jun 24,BOS,36868
75,Sunday Jun 25,BOS,36474
76,Monday Jun 26,BOS,37172
77,Tuesday Jun 27,BOS,36804
78,Wednesday Jun 28,BOS,37487
79,Thursday Jun 29,BOS,37445
90,Friday Jul 14,BOS,37570
91,Saturday Jul 15,BOS,36936
92,Sunday Jul 16 (1),BOS,37343
93,Sunday Jul 16 (2),BOS,36719
94,Monday Jul 17,BOS,36144
95,Tuesday Jul 18,BOS,36488
96,Wednesday Jul 19,BOS,37360
97,Thursday Jul 20,BOS,37094
104,Friday Jul 28,BOS,37321
