GameNo,Tm,D/N,Attendance,API DATE Format
1,BOS,D,36594,2017-04-03
2,BOS,N,36137,2017-04-05
7,BOS,N,37497,2017-04-11
8,BOS,N,32211,2017-04-12
9,BOS,D,32400,2017-04-13
10,BOS,N,36813,2017-04-14
11,BOS,D,36686,2017-04-15
12,BOS,D,36209,2017-04-16
13,BOS,D,37318,2017-04-17
20,BOS,N,32072,2017-04-26
21,BOS,N,34054,2017-04-27
22,BOS,N,37054,2017-04-28
23,BOS,D,36776,2017-04-29
24,BOS,N,36916,2017-04-30
25,BOS,N,33489,2017-05-01
26,BOS,N,32932,2017-05-02
27,BOS,N,33162,2017-05-03
28,BOS,N,36563,2017-05-04
35,BOS,N,36496,2017-05-12
36,BOS,D,35447,2017-05-13
37,BOS,D,35080,2017-05-14
44,BOS,N,34769,2017-05-23
45,BOS,N,36089,2017-05-24
46,BOS,N,33484,2017-05-25
47,BOS,N,35080,2017-05-26
48,BOS,D,36985,2017-05-27
49,BOS,D,37174,2017-05-28
60,BOS,N,36853,2017-06-09
61,BOS,N,37162,2017-06-10
62,BOS,N,35457,2017-06-11
63,BOS,N,36757,2017-06-12
64,BOS,N,37141,2017-06-13
73,BOS,N,37034,2017-06-23
74,BOS,N,36868,2017-06-24
75,BOS,D,36474,2017-06-25
76,BOS,N,37172,2017-06-26
77,BOS,N,36804,2017-06-27
78,BOS,N,37487,2017-06-28
79,BOS,N,37445,2017-06-29
90,BOS,N,37570,2017-07-14
91,BOS,D,36936,2017-07-15
92,BOS,D,37343,2017-07-16
93,BOS,N,36719,2017-07-16
94,BOS,N,36144,2017-07-17
95,BOS,N,36488,2017-07-18
96,BOS,N,37360,2017-07-19
97,BOS,D,37094,2017-07-20
104,BOS,N,37321,2017-07-28
105,BOS,N,36912,2017-07-29
106,BOS,D,36480,2017-07-30
107,BOS,N,37169,2017-07-31
108,BOS,N,37126,2017-08-01
109,BOS,N,37442,2017-08-03
110,BOS,N,36612,2017-08-04
111,BOS,N,36599,2017-08-05
112,BOS,D,37283,2017-08-06
118,BOS,N,37430,2017-08-14
119,BOS,N,37345,2017-08-15
120,BOS,N,37181,2017-08-16
121,BOS,N,36784,2017-08-18
122,BOS,N,37274,2017-08-19
123,BOS,D,36911,2017-08-20
128,BOS,N,37191,2017-08-25
129,BOS,D,36655,2017-08-26
130,BOS,D,36625,2017-08-27
138,BOS,N,34311,2017-09-04
139,BOS,N,33009,2017-09-05
140,BOS,N,33190,2017-09-06
141,BOS,N,34781,2017-09-08
142,BOS,N,36734,2017-09-09
143,BOS,D,35859,2017-09-10
144,BOS,N,34355,2017-09-12
145,BOS,N,36366,2017-09-13
146,BOS,D,35470,2017-09-14
156,BOS,N,33940,2017-09-25
157,BOS,N,33999,2017-09-26
158,BOS,N,34445,2017-09-27
159,BOS,N,34222,2017-09-28
160,BOS,N,36623,2017-09-29
161,BOS,D,35722,2017-09-30
162,BOS,D,34517,2017-10-01
7,CHC,N,41166,2017-04-10
8,CHC,N,40844,2017-04-12
9,CHC,D,38379,2017-04-13
