Gm#,Tm,D/N,Attendance,API DATE Format
7,BOS,D,36134,2018-04-05
8,BOS,D,31821,2018-04-07
9,BOS,D,31979,2018-04-08
10,BOS,N,32357,2018-04-10
11,BOS,N,32400,2018-04-11
12,BOS,N,36341,2018-04-12
13,BOS,N,32610,2018-04-13
14,BOS,D,33584,2018-04-14
15,BOS,D,32489,2018-04-15
25,BOS,N,32620,2018-04-27
26,BOS,D,35795,2018-04-28
27,BOS,D,32888,2018-04-29
28,BOS,N,31314,2018-04-30
29,BOS,N,34466,2018-05-01
30,BOS,D,32267,2018-05-02
41,BOS,N,35249,2018-05-14
42,BOS,N,34906,2018-05-15
43,BOS,N,34947,2018-05-16
44,BOS,N,36615,2018-05-17
45,BOS,N,34935,2018-05-18
46,BOS,N,34195,2018-05-19
47,BOS,D,35550,2018-05-20
51,BOS,N,37008,2018-05-25
52,BOS,D,36510,2018-05-26
53,BOS,D,36543,2018-05-27
54,BOS,D,34700,2018-05-28
55,BOS,N,33380,2018-05-29
56,BOS,D,33451,2018-05-30
61,BOS,N,34762,2018-06-05
62,BOS,N,35182,2018-06-06
63,BOS,N,36556,2018-06-07
64,BOS,N,36593,2018-06-08
65,BOS,D,36675,2018-06-09
66,BOS,D,36998,2018-06-10
77,BOS,N,37342,2018-06-22
78,BOS,N,36051,2018-06-23
79,BOS,D,36274,2018-06-24
80,BOS,N,37366,2018-06-26
81,BOS,N,37521,2018-06-27
82,BOS,N,36992,2018-06-28
92,BOS,N,36754,2018-07-09
93,BOS,N,36883,2018-07-10
94,BOS,N,36920,2018-07-11
95,BOS,N,37182,2018-07-12
96,BOS,N,37018,2018-07-13
97,BOS,D,36390,2018-07-14
98,BOS,D,36940,2018-07-15
104,BOS,N,37439,2018-07-26
105,BOS,N,37273,2018-07-27
106,BOS,N,36798,2018-07-28
107,BOS,D,36785,2018-07-29
108,BOS,N,37722,2018-07-30
109,BOS,N,37816,2018-07-31
110,BOS,N,37317,2018-08-02
111,BOS,N,37231,2018-08-03
112,BOS,D,36699,2018-08-04
113,BOS,N,37830,2018-08-05
123,BOS,N,37012,2018-08-17
124,BOS,N,36654,2018-08-18
125,BOS,D,37242,2018-08-19
126,BOS,N,37274,2018-08-20
127,BOS,N,37188,2018-08-21
128,BOS,N,37107,2018-08-22
129,BOS,D,37396,2018-08-23
133,BOS,N,36708,2018-08-28
134,BOS,N,36628,2018-08-29
142,BOS,N,36930,2018-09-07
143,BOS,D,36684,2018-09-08
144,BOS,N,32787,2018-09-09
145,BOS,N,34747,2018-09-11
146,BOS,N,35178,2018-09-12
147,BOS,N,36427,2018-09-13
148,BOS,N,37117,2018-09-14
149,BOS,D,36611,2018-09-15
150,BOS,D,36526,2018-09-16
157,BOS,N,35619,2018-09-24
158,BOS,D,33577,2018-09-26
159,BOS,N,34445,2018-09-26
160,BOS,N,36779,2018-09-28
161,BOS,D,36375,2018-09-29
162,BOS,D,36201,2018-09-30
10,CHC,D,40144,2018-04-10
11,CHC,N,35596,2018-04-11
12,CHC,D,29949,2018-04-12
13,CHC,D,29775,2018-04-13
14,CHC,D,36788,2018-04-14
15,CHC,N,35103,2018-04-17
16,CHC,D,29648,2018-04-19
22,CHC,N,37197,2018-04-26
23,CHC,D,35579,2018-04-27
24,CHC,D,40147,2018-04-28
25,CHC,D,40895,2018-04-29
26,CHC,N,35922,2018-04-30
27,CHC,N,40077,2018-05-01
28,CHC,D,32909,2018-05-02
32,CHC,N,37333,2018-05-07
33,CHC,N,40051,2018-05-08
34,CHC,D,34486,2018-05-09
35,CHC,D,39585,2018-05-11
36,CHC,D,41099,2018-05-12
37,CHC,D,40537,2018-05-13
38,CHC,D,35946,2018-05-14
45,CHC,N,37168,2018-05-22
46,CHC,N,39004,2018-05-23
47,CHC,D,41177,2018-05-25
48,CHC,N,41250,2018-05-26
49,CHC,N,41587,2018-05-27
57,CHC,N,40553,2018-06-05
58,CHC,N,40275,2018-06-06
59,CHC,D,40057,2018-06-07
60,CHC,D,40097,2018-06-08
61,CHC,D,41045,2018-06-09
62,CHC,D,40735,2018-06-10
69,CHC,D,39273,2018-06-19
70,CHC,N,40409,2018-06-19
71,CHC,D,41199,2018-06-20
80,CHC,D,41492,2018-06-29
81,CHC,D,40950,2018-06-30
82,CHC,D,40051,2018-07-01
83,CHC,D,38424,2018-07-03
84,CHC,D,40510,2018-07-04
85,CHC,D,41434,2018-07-06
86,CHC,D,41538,2018-07-07
87,CHC,D,38655,2018-07-08
94,CHC,N,41406,2018-07-19
95,CHC,D,41077,2018-07-20
96,CHC,D,41004,2018-07-21
97,CHC,N,41244,2018-07-21
98,CHC,D,39737,2018-07-22
99,CHC,N,40859,2018-07-23
100,CHC,N,40869,2018-07-24
101,CHC,D,35548,2018-07-25
102,CHC,D,38979,2018-07-26
108,CHC,N,40714,2018-08-02
109,CHC,D,40894,2018-08-03
110,CHC,D,40855,2018-08-04
111,CHC,D,41136,2018-08-05
115,CHC,D,41531,2018-08-10
116,CHC,D,41320,2018-08-11
117,CHC,N,36490,2018-08-12
118,CHC,D,40441,2018-08-14
119,CHC,D,39619,2018-08-15
126,CHC,N,41130,2018-08-23
127,CHC,D,37760,2018-08-24
128,CHC,D,41205,2018-08-25
129,CHC,D,40331,2018-08-26
130,CHC,N,38935,2018-08-27
131,CHC,N,37017,2018-08-28
132,CHC,D,33386,2018-08-29
143,CHC,N,38471,2018-09-10
144,CHC,N,37017,2018-09-11
145,CHC,N,40234,2018-09-12
147,CHC,N,36468,2018-09-14
148,CHC,D,41196,2018-09-15
149,CHC,D,41314,2018-09-16
156,CHC,N,34570,2018-09-24
157,CHC,N,33443,2018-09-25
158,CHC,N,32874,2018-09-26
159,CHC,N,38415,2018-09-27
160,CHC,D,39442,2018-09-28
161,CHC,D,40784,2018-09-29
162,CHC,D,39275,2018-09-30
163,CHC,D,38450,2018-10-01
