,Team,D/N,Attendance,Date
0,BOS,N,37552,2009-04-08
1,BOS,N,38266,2009-04-17
2,BOS,N,37559,2009-04-18
3,BOS,N,37494,2009-04-22
4,BOS,N,38163,2009-04-24
5,BOS,N,38154,2009-04-26
6,BOS,N,37888,2009-05-06
7,BOS,N,37541,2009-05-07
8,BOS,N,37745,2009-05-08
9,BOS,N,37759,2009-05-10
10,BOS,N,37830,2009-05-19
11,BOS,N,38099,2009-05-20
12,BOS,N,38347,2009-05-21
13,BOS,N,38092,2009-05-22
14,BOS,N,37871,2009-05-23
15,BOS,N,37519,2009-06-05
16,BOS,N,37828,2009-06-06
17,BOS,N,37883,2009-06-09
18,BOS,N,38121,2009-06-10
19,BOS,N,38153,2009-06-11
20,BOS,N,38149,2009-06-16
21,BOS,N,38196,2009-06-17
22,BOS,N,37577,2009-06-18
23,BOS,N,37703,2009-06-19
24,BOS,N,38029,2009-06-20
25,BOS,N,38078,2009-07-03
26,BOS,N,38294,2009-07-06
27,BOS,N,37676,2009-07-07
28,BOS,N,37981,2009-07-08
29,BOS,N,38189,2009-07-09
30,BOS,N,38116,2009-07-10
31,BOS,N,37825,2009-07-11
32,BOS,N,38058,2009-07-24
33,BOS,N,38063,2009-07-25
34,BOS,N,37955,2009-07-27
35,BOS,N,38084,2009-07-28
36,BOS,N,38193,2009-07-29
37,BOS,N,37960,2009-08-10
38,BOS,N,38013,2009-08-11
39,BOS,N,38124,2009-08-12
40,BOS,N,37869,2009-08-21
41,BOS,N,38008,2009-08-23
42,BOS,N,37812,2009-08-24
43,BOS,N,38059,2009-08-25
44,BOS,N,37839,2009-08-26
45,BOS,N,38003,2009-08-27
46,BOS,N,37844,2009-08-28
47,BOS,N,37452,2009-08-29
48,BOS,N,37647,2009-09-08
49,BOS,N,37712,2009-09-09
50,BOS,N,37755,2009-09-12
51,BOS,N,37271,2009-09-13
52,BOS,N,37942,2009-09-15
53,BOS,N,37706,2009-09-16
54,BOS,N,38157,2009-09-17
55,BOS,N,37591,2009-09-28
56,BOS,N,37618,2009-09-29
57,BOS,N,37246,2009-09-30
58,BOS,N,37459,2009-10-01
59,BOS,N,37787,2009-10-02
60,BOS,N,37562,2009-10-03
61,BOS,N,37440,2010-04-04
62,BOS,N,38000,2010-04-06
63,BOS,N,38238,2010-04-07
64,BOS,N,37084,2010-04-16
65,BOS,N,37022,2010-04-17
66,BOS,N,37614,2010-04-20
67,BOS,N,37518,2010-04-21
68,BOS,N,37417,2010-04-22
69,BOS,N,37367,2010-04-23
70,BOS,N,38017,2010-04-24
71,BOS,N,37404,2010-05-03
72,BOS,N,37411,2010-05-04
73,BOS,N,37601,2010-05-05
74,BOS,N,37639,2010-05-06
75,BOS,N,37898,2010-05-07
76,BOS,N,37618,2010-05-09
77,BOS,N,37332,2010-05-10
78,BOS,N,37609,2010-05-11
79,BOS,N,37426,2010-05-19
80,BOS,N,38144,2010-05-20
81,BOS,N,37940,2010-05-27
82,BOS,N,37945,2010-05-28
83,BOS,N,37956,2010-05-29
84,BOS,N,37337,2010-06-01
85,BOS,N,37783,2010-06-02
86,BOS,N,38021,2010-06-11
87,BOS,N,37459,2010-06-15
88,BOS,N,37452,2010-06-16
89,BOS,N,37544,2010-06-17
90,BOS,N,37723,2010-06-18
91,BOS,N,37430,2010-06-20
92,BOS,N,38013,2010-06-29
93,BOS,N,38055,2010-06-30
94,BOS,N,38067,2010-07-02
95,BOS,N,38106,2010-07-03
96,BOS,N,38062,2010-07-15
97,BOS,N,37669,2010-07-16
98,BOS,N,37744,2010-07-17
99,BOS,N,37832,2010-07-30
100,BOS,N,37931,2010-08-02
101,BOS,N,37714,2010-08-03
102,BOS,N,37902,2010-08-04
103,BOS,N,38102,2010-08-05
104,BOS,N,38304,2010-08-17
105,BOS,N,37779,2010-08-18
106,BOS,N,37641,2010-08-19
107,BOS,N,37726,2010-08-20
108,BOS,N,37614,2010-08-21
109,BOS,N,37133,2010-08-23
110,BOS,N,37451,2010-08-25
111,BOS,N,37858,2010-09-04
112,BOS,N,37546,2010-09-06
113,BOS,N,37290,2010-09-07
114,BOS,N,37757,2010-09-08
115,BOS,N,37679,2010-09-17
116,BOS,N,37863,2010-09-18
117,BOS,N,37560,2010-09-20
118,BOS,N,37464,2010-09-21
119,BOS,N,37729,2010-09-22
120,BOS,N,37589,2010-10-02
121,BOS,N,37861,2011-04-10
122,BOS,N,37568,2011-04-11
123,BOS,N,37015,2011-04-12
124,BOS,N,37467,2011-04-15
125,BOS,N,37845,2011-04-29
126,BOS,N,37901,2011-04-30
127,BOS,N,37017,2011-05-02
128,BOS,N,37043,2011-05-03
129,BOS,N,37037,2011-05-04
130,BOS,N,37798,2011-05-06
131,BOS,N,37276,2011-05-09
132,BOS,N,37138,2011-05-16
133,BOS,N,37311,2011-05-18
134,BOS,N,37660,2011-05-19
135,BOS,N,37140,2011-05-20
136,BOS,N,37798,2011-05-21
137,BOS,N,37688,2011-05-22
138,BOS,N,37463,2011-05-30
139,BOS,N,37269,2011-05-31
140,BOS,N,37808,2011-06-03
141,BOS,N,37833,2011-06-17
142,BOS,N,38175,2011-06-18
143,BOS,N,38020,2011-06-20
144,BOS,N,38422,2011-06-21
145,BOS,N,37745,2011-07-05
146,BOS,N,37404,2011-07-06
147,BOS,N,37981,2011-07-07
148,BOS,N,37729,2011-07-08
149,BOS,N,38205,2011-07-09
150,BOS,N,38048,2011-07-22
151,BOS,N,38115,2011-07-23
152,BOS,N,37727,2011-07-25
153,BOS,N,37460,2011-07-26
154,BOS,N,38329,2011-07-27
155,BOS,N,37943,2011-08-01
156,BOS,N,38101,2011-08-02
157,BOS,N,38172,2011-08-03
158,BOS,N,38477,2011-08-04
159,BOS,N,38006,2011-08-05
160,BOS,N,38189,2011-08-07
161,BOS,N,38278,2011-08-16
162,BOS,N,38239,2011-08-26
163,BOS,N,37039,2011-08-27
164,BOS,N,37773,2011-08-30
165,BOS,N,38021,2011-08-31
166,BOS,N,38074,2011-09-01
167,BOS,N,38083,2011-09-02
168,BOS,N,38020,2011-09-13
169,BOS,N,38071,2011-09-15
170,BOS,N,38019,2011-09-16
171,BOS,N,37261,2011-09-19
172,BOS,N,37414,2011-09-20
173,BOS,N,38004,2011-09-21
174,BOS,N,38229,2012-04-17
175,BOS,N,37967,2012-04-18
176,BOS,N,37359,2012-04-30
177,BOS,N,37225,2012-05-01
178,BOS,N,37434,2012-05-02
179,BOS,N,37223,2012-05-04
180,BOS,N,37348,2012-05-10
181,BOS,N,37438,2012-05-11
182,BOS,N,38048,2012-05-12
183,BOS,N,37334,2012-05-14
184,BOS,N,37594,2012-05-25
185,BOS,N,38099,2012-05-26
