,Team,D/N,Attendance,Date
0,CHC,D,40077,2009-04-13
1,CHC,D,39361,2009-04-15
2,CHC,D,38909,2009-04-16
3,CHC,D,40250,2009-04-17
4,CHC,D,40878,2009-04-18
5,CHC,D,40039,2009-04-23
6,CHC,D,38336,2009-05-01
7,CHC,D,40083,2009-05-02
8,CHC,D,40457,2009-05-03
9,CHC,D,39497,2009-05-05
10,CHC,D,39728,2009-05-14
11,CHC,D,40549,2009-05-16
12,CHC,D,40478,2009-05-17
13,CHC,D,38314,2009-05-27
14,CHC,D,40148,2009-05-29
15,CHC,D,41153,2009-05-30
16,CHC,D,41509,2009-06-12
17,CHC,D,40899,2009-06-13
18,CHC,D,40814,2009-06-14
19,CHC,D,40444,2009-06-17
20,CHC,D,40467,2009-06-18
21,CHC,D,40155,2009-06-19
22,CHC,D,41007,2009-06-20
23,CHC,D,40866,2009-06-21
24,CHC,D,41204,2009-07-03
25,CHC,D,40088,2009-07-04
26,CHC,D,40369,2009-07-05
27,CHC,D,40531,2009-07-08
28,CHC,D,40687,2009-07-10
29,CHC,D,41210,2009-07-11
30,CHC,D,40701,2009-07-12
31,CHC,D,41406,2009-07-24
32,CHC,D,41364,2009-07-25
33,CHC,D,41528,2009-07-26
34,CHC,D,41538,2009-07-29
35,CHC,D,41524,2009-07-30
36,CHC,D,41100,2009-08-13
37,CHC,D,41619,2009-08-14
38,CHC,D,41197,2009-08-15
39,CHC,D,35174,2009-08-27
40,CHC,D,39381,2009-08-28
41,CHC,D,40857,2009-08-29
42,CHC,D,39907,2009-08-30
43,CHC,D,39192,2009-09-02
44,CHC,D,40741,2009-09-03
45,CHC,D,39881,2009-09-11
46,CHC,D,40351,2009-09-12
47,CHC,D,39805,2009-09-13
48,CHC,D,39158,2009-09-17
49,CHC,D,34362,2009-09-30
50,CHC,D,33786,2009-10-02
51,CHC,D,39138,2009-10-03
52,CHC,D,39154,2009-10-04
53,CHC,D,41306,2010-04-12
54,CHC,D,39565,2010-04-14
55,CHC,D,38026,2010-04-15
56,CHC,D,37291,2010-04-16
57,CHC,D,40471,2010-04-17
58,CHC,D,39506,2010-04-18
59,CHC,D,36660,2010-04-28
60,CHC,D,36850,2010-04-29
61,CHC,D,37800,2010-04-30
62,CHC,D,40368,2010-05-01
63,CHC,D,38144,2010-05-02
64,CHC,D,38637,2010-05-12
65,CHC,D,39082,2010-05-14
66,CHC,D,41336,2010-05-15
67,CHC,D,40636,2010-05-16
68,CHC,D,33868,2010-05-27
69,CHC,D,39536,2010-05-28
70,CHC,D,40601,2010-05-29
71,CHC,D,41353,2010-05-30
72,CHC,D,41129,2010-06-11
73,CHC,D,40397,2010-06-12
74,CHC,D,36942,2010-06-17
75,CHC,D,39729,2010-06-18
76,CHC,D,40008,2010-06-19
77,CHC,D,39850,2010-06-20
78,CHC,D,37391,2010-06-30
79,CHC,D,36880,2010-07-01
80,CHC,D,40361,2010-07-02
81,CHC,D,40677,2010-07-03
82,CHC,D,41079,2010-07-04
83,CHC,D,40622,2010-07-16
84,CHC,D,40924,2010-07-17
85,CHC,D,38533,2010-07-21
86,CHC,D,40687,2010-07-23
87,CHC,D,41009,2010-07-24
88,CHC,D,38425,2010-08-04
89,CHC,D,40696,2010-08-06
90,CHC,D,41227,2010-08-07
91,CHC,D,39016,2010-08-08
92,CHC,D,33267,2010-08-18
93,CHC,D,30687,2010-08-19
94,CHC,D,39345,2010-08-20
95,CHC,D,41099,2010-08-21
96,CHC,D,37518,2010-08-22
97,CHC,D,33555,2010-09-01
98,CHC,D,31424,2010-09-03
99,CHC,D,39473,2010-09-04
100,CHC,D,40788,2010-09-05
101,CHC,D,31647,2010-09-06
102,CHC,D,36553,2010-09-24
103,CHC,D,39316,2010-09-25
104,CHC,D,38057,2010-09-26
105,CHC,D,41358,2011-04-01
106,CHC,D,35782,2011-04-02
107,CHC,D,30857,2011-04-03
108,CHC,D,26292,2011-04-04
109,CHC,D,27039,2011-04-05
110,CHC,D,32272,2011-04-06
111,CHC,D,35544,2011-04-20
112,CHC,D,36595,2011-04-22
