,Team,D/N,Attendance,Date
0,CHC,N,38403,2009-04-21
1,CHC,N,38738,2009-04-22
2,CHC,N,37956,2009-04-30
3,CHC,N,39112,2009-05-04
4,CHC,N,39963,2009-05-12
5,CHC,N,38410,2009-05-13
6,CHC,N,38942,2009-05-25
7,CHC,N,38303,2009-05-26
8,CHC,N,39579,2009-05-28
9,CHC,N,40091,2009-05-31
10,CHC,N,40545,2009-07-02
11,CHC,N,40042,2009-07-06
12,CHC,N,40359,2009-07-07
13,CHC,N,41244,2009-07-12
14,CHC,N,40794,2009-07-27
15,CHC,N,40814,2009-07-28
16,CHC,N,41477,2009-08-11
17,CHC,N,41133,2009-08-12
18,CHC,N,37297,2009-08-25
19,CHC,N,36562,2009-08-26
20,CHC,N,36990,2009-08-31
21,CHC,N,36332,2009-09-01
22,CHC,N,38725,2009-09-14
23,CHC,N,38986,2009-09-15
24,CHC,N,38084,2009-09-16
25,CHC,N,35308,2009-09-29
26,CHC,N,33299,2009-09-30
27,CHC,N,37850,2010-04-26
28,CHC,N,37440,2010-04-27
29,CHC,N,38266,2010-05-10
30,CHC,N,38007,2010-05-11
31,CHC,N,35760,2010-05-17
32,CHC,N,37029,2010-05-18
33,CHC,N,34749,2010-05-25
34,CHC,N,35828,2010-05-26
35,CHC,N,40456,2010-06-13
36,CHC,N,34390,2010-06-15
37,CHC,N,36244,2010-06-16
38,CHC,N,38512,2010-06-28
39,CHC,N,36914,2010-06-29
40,CHC,N,40879,2010-07-15
41,CHC,N,39333,2010-07-18
42,CHC,N,35514,2010-07-19
43,CHC,N,36401,2010-07-20
44,CHC,N,41406,2010-07-25
45,CHC,N,37731,2010-08-02
46,CHC,N,36183,2010-08-03
47,CHC,N,36814,2010-08-16
48,CHC,N,33664,2010-08-17
49,CHC,N,29538,2010-08-30
50,CHC,N,31369,2010-08-31
51,CHC,N,31596,2010-09-07
52,CHC,N,33623,2010-09-08
53,CHC,N,36364,2010-09-21
54,CHC,N,37285,2010-09-22
55,CHC,N,34481,2010-09-23
56,CHC,N,36597,2011-04-18
57,CHC,N,35095,2011-04-20
58,CHC,N,37417,2011-04-25
59,CHC,N,38261,2011-04-26
60,CHC,N,34249,2011-05-10
61,CHC,N,34439,2011-05-11
62,CHC,N,39706,2011-05-14
63,CHC,N,35707,2011-05-24
64,CHC,N,36666,2011-05-25
65,CHC,N,31178,2011-05-31
66,CHC,N,39070,2011-06-13
67,CHC,N,39151,2011-06-14
68,CHC,N,39821,2011-06-15
69,CHC,N,41828,2011-06-19
70,CHC,N,38360,2011-06-28
71,CHC,N,37221,2011-06-29
72,CHC,N,38145,2011-07-14
73,CHC,N,38183,2011-07-18
74,CHC,N,38857,2011-07-19
75,CHC,N,37109,2011-08-09
76,CHC,N,38010,2011-08-10
77,CHC,N,39420,2011-08-21
78,CHC,N,37061,2011-08-22
79,CHC,N,36639,2011-08-23
80,CHC,N,37098,2011-08-24
81,CHC,N,35297,2011-09-06
82,CHC,N,36797,2011-09-07
83,CHC,N,35076,2011-09-19
