Team,D/N,Attendance,Date
BOS,D,37057,2009-04-07
BOS,D,37784,2009-04-09
BOS,D,37869,2009-04-19
BOS,D,37865,2009-04-20
BOS,D,37608,2009-04-22
BOS,D,37699,2009-04-25
BOS,D,37773,2009-05-09
BOS,D,37446,2009-05-24
BOS,D,37537,2009-06-07
BOS,D,37243,2009-06-21
BOS,D,37656,2009-07-04
BOS,D,37691,2009-07-05
BOS,D,37612,2009-07-12
BOS,D,37606,2009-07-26
BOS,D,37919,2009-07-30
BOS,D,37556,2009-08-13
BOS,D,37277,2009-08-22
BOS,D,37560,2009-08-30
BOS,D,38228,2009-09-13
BOS,D,37247,2009-10-04
BOS,D,37143,2010-04-18
BOS,D,37609,2010-04-19
BOS,D,37102,2010-04-25
BOS,D,37138,2010-05-08
BOS,D,37198,2010-05-12
BOS,D,37581,2010-05-30
BOS,D,37386,2010-06-03
BOS,D,37061,2010-06-12
BOS,D,37230,2010-06-13
BOS,D,37454,2010-06-19
BOS,D,37742,2010-07-04
BOS,D,37431,2010-07-18
BOS,D,37498,2010-07-31
BOS,D,37479,2010-08-01
BOS,D,37506,2010-08-22
BOS,D,37183,2010-08-25
BOS,D,37411,2010-09-04
BOS,D,37570,2010-09-05
BOS,D,37234,2010-09-19
BOS,D,37467,2010-10-02
BOS,D,37453,2010-10-03
BOS,D,37178,2011-04-08
BOS,D,37488,2011-04-09
BOS,D,37310,2011-04-16
BOS,D,37802,2011-04-17
BOS,D,37916,2011-04-18
BOS,D,37079,2011-05-01
BOS,D,37013,2011-05-05
BOS,D,37234,2011-05-07
BOS,D,37526,2011-05-08
BOS,D,37321,2011-06-01
BOS,D,37485,2011-06-04
BOS,D,37796,2011-06-05
BOS,D,37903,2011-06-19
BOS,D,37419,2011-06-22
BOS,D,38072,2011-07-04
BOS,D,37688,2011-07-10
BOS,D,37650,2011-07-24
BOS,D,37822,2011-07-28
BOS,D,37416,2011-08-06
BOS,D,38525,2011-08-16
BOS,D,37747,2011-08-17
BOS,D,37314,2011-08-27
BOS,D,37806,2011-09-03
BOS,D,37744,2011-09-04
BOS,D,37087,2011-09-14
BOS,D,37682,2011-09-17
BOS,D,37613,2011-09-18
BOS,D,37885,2011-09-19
BOS,D,37032,2012-04-13
BOS,D,38024,2012-04-14
BOS,D,38024,2012-04-15
BOS,D,38108,2012-04-16
BOS,D,36770,2012-04-20
BOS,D,37839,2012-04-21
BOS,D,37581,2012-05-05
BOS,D,37394,2012-05-06
BOS,D,37611,2012-05-13
BOS,D,37292,2012-05-15
BOS,D,37844,2012-05-27
BOS,D,37921,2012-05-28
BOS,D,37534,2012-06-09
BOS,D,37467,2012-06-10
BOS,D,37565,2012-06-24
BOS,D,37744,2012-06-27
BOS,D,38170,2012-07-07
BOS,D,37737,2012-07-22
BOS,D,37019,2012-08-05
BOS,D,37716,2012-08-08
BOS,D,37188,2012-08-26
BOS,D,37506,2012-08-27
BOS,D,37226,2012-09-09
BOS,D,37570,2012-09-22
BOS,D,37310,2012-09-23
BOS,D,37008,2013-04-08
BOS,D,33039,2013-04-13
BOS,D,35198,2013-04-14
BOS,D,37449,2013-04-15
BOS,D,35152,2013-04-20
BOS,D,31483,2013-04-21
BOS,D,29274,2013-04-24
BOS,D,36527,2013-04-28
BOS,D,36543,2013-05-11
BOS,D,35532,2013-05-12
BOS,D,36504,2013-05-25
BOS,D,37046,2013-05-26
BOS,D,34499,2013-06-08
BOS,D,37054,2013-06-09
BOS,D,33430,2013-06-18
BOS,D,34632,2013-06-26
BOS,D,37437,2013-06-29
BOS,D,37425,2013-06-30
BOS,D,37607,2013-07-04
BOS,D,37601,2013-07-20
BOS,D,37611,2013-08-04
BOS,D,37517,2013-08-17
BOS,D,37053,2013-09-01
BOS,D,36188,2013-09-02
BOS,D,37510,2013-09-14
BOS,D,37020,2013-09-22
