,Icon,Precipitation,Temperature,Summary
2009-04-07,cloudy,0,47.67,Overcast
2009-04-09,partly-cloudy-day,0,58.28,Partly Cloudy
2009-04-19,clear-day,0,52.93,Clear
2009-04-20,clear-day,0,51.57,Clear
2009-04-22,partly-cloudy-day,0,63.43,Mostly Cloudy
2009-04-25,clear-day,0,80.03,Clear
2009-05-09,partly-cloudy-day,0,69.17,Mostly Cloudy
2009-05-24,partly-cloudy-day,0,78.7,Partly Cloudy
2009-06-07,clear-day,0,77.13,Clear
2009-06-21,cloudy,0.0023,63.55,Overcast
2009-07-04,partly-cloudy-day,0,75.97,Mostly Cloudy
2009-07-05,partly-cloudy-day,0,76.12,Partly Cloudy
2009-07-12,partly-cloudy-day,0,78.13,Mostly Cloudy
2009-07-26,partly-cloudy-day,0,81.99,Mostly Cloudy
2009-07-30,partly-cloudy-day,0.002,79.23,Humid and Mostly Cloudy
2009-08-13,cloudy,0,67.77,Overcast
2009-08-22,partly-cloudy-day,0.0051,84.17,Humid and Mostly Cloudy
2009-08-30,partly-cloudy-day,0,70.28,Mostly Cloudy
2009-09-13,partly-cloudy-day,0,74.89,Mostly Cloudy
2009-10-04,cloudy,0,63.6,Overcast
2010-04-18,cloudy,0.0011,48.42,Overcast
2010-04-19,cloudy,0,54.26,Overcast
2010-04-25,partly-cloudy-day,0,61.01,Partly Cloudy
2010-05-08,rain,0.1115,54.5,Rain
2010-05-12,partly-cloudy-day,0,51.7,Mostly Cloudy
2010-05-30,clear-day,0,77.88,Clear
2010-06-03,clear-day,0,80.04,Clear
2010-06-12,rain,0.0041,66.94,Possible Drizzle
2010-06-13,cloudy,0,63,Overcast
2010-06-19,clear-day,0,83.96,Clear
2010-07-04,clear-day,0,90.7,Clear
2010-07-18,partly-cloudy-day,0,88.82,Partly Cloudy
2010-07-31,partly-cloudy-day,0,75.78,Partly Cloudy
2010-08-01,partly-cloudy-day,0,78.19,Partly Cloudy
2010-08-22,rain,0.0216,69.89,Light Rain
2010-08-25,rain,0.0792,64.7,Light Rain
2010-09-04,clear-day,0,79.88,Clear
2010-09-05,partly-cloudy-day,0,71.31,Partly Cloudy
2010-09-19,partly-cloudy-day,0,73.07,Mostly Cloudy
2010-10-02,clear-day,0,62.98,Clear
2010-10-03,cloudy,0,56.23,Overcast
2011-04-08,clear-day,0,51.59,Clear
2011-04-09,clear-day,0,59.09,Clear
2011-04-16,partly-cloudy-day,0,44.18,Mostly Cloudy
2011-04-17,partly-cloudy-day,0.0033,56.79,Mostly Cloudy
2011-04-18,clear-day,0,56.6,Clear
2011-05-01,clear-day,0,56.85,Clear
2011-05-05,cloudy,0,54.43,Overcast
2011-05-07,partly-cloudy-day,0,69.18,Mostly Cloudy
2011-05-08,partly-cloudy-day,0,57.84,Mostly Cloudy
2011-06-01,partly-cloudy-day,0,81.26,Partly Cloudy
2011-06-04,clear-day,0,64.47,Clear
2011-06-05,clear-day,0,68.47,Clear
2011-06-19,clear-day,0,74.49,Clear
2011-06-22,rain,0.0178,69.75,Light Rain
2011-07-04,partly-cloudy-day,0,84.67,Mostly Cloudy
2011-07-10,clear-day,0,82.03,Clear
2011-07-24,partly-cloudy-day,0,78.8,Mostly Cloudy
2011-07-28,partly-cloudy-day,0,78.69,Partly Cloudy
2011-08-06,partly-cloudy-day,0,84.56,Mostly Cloudy
2011-08-16,cloudy,0,67.63,Overcast
2011-08-17,clear-day,0,81.41,Clear
2011-08-27,cloudy,0,79.1,Overcast
2011-09-03,clear-day,0,80.63,Clear
2011-09-04,partly-cloudy-day,0,81.42,Mostly Cloudy
2011-09-14,partly-cloudy-day,0,82.6,Partly Cloudy
2011-09-17,partly-cloudy-day,0,62.2,Partly Cloudy
2011-09-18,partly-cloudy-day,0,63.88,Partly Cloudy
2011-09-19,partly-cloudy-day,0,64.08,Partly Cloudy
2012-04-13,partly-cloudy-day,0,59.77,Partly Cloudy
2012-04-14,clear-day,0,68.04,Clear
2012-04-15,clear-day,0,73.1,Clear
2012-04-16,clear-day,0,87.84,Clear
2012-04-20,partly-cloudy-day,0,76.13,Partly Cloudy
2012-04-21,partly-cloudy-day,0,74.03,Mostly Cloudy
2012-05-05,cloudy,0,59.3,Overcast
2012-05-06,partly-cloudy-day,0,56.2,Mostly Cloudy
2012-05-13,clear-day,0,80.82,Clear
2012-05-15,partly-cloudy-day,0,72.36,Mostly Cloudy
2012-05-27,clear-day,0,76.22,Clear
2012-05-28,clear-day,0,74.12,Clear
2012-06-09,clear-day,0,76.29,Clear
2012-06-10,clear-day,0,79.68,Clear
2012-06-24,clear-day,0,81.69,Clear
2012-06-27,partly-cloudy-day,0,75.16,Mostly Cloudy
2012-07-07,partly-cloudy-day,0,81.41,Humid and Mostly Cloudy
2012-07-22,partly-cloudy-day,0,84.19,Partly Cloudy
2012-08-05,partly-cloudy-day,0,88.1,Humid and Mostly Cloudy
2012-08-08,clear-day,0,86.87,Clear
2012-08-26,clear-day,0,79.94,Clear
2012-08-27,clear-day,0,82.51,Clear
2012-09-09,partly-cloudy-day,0,66.93,Partly Cloudy
2012-09-22,cloudy,0,63.98,Overcast
2012-09-23,clear-day,0,68.13,Clear
2013-04-08,clear-day,0,60.38,Clear
2013-04-13,cloudy,0,47.98,Overcast
2013-04-14,partly-cloudy-day,0,50.81,Mostly Cloudy
2013-04-15,partly-cloudy-day,0,54.47,Partly Cloudy
2013-04-20,partly-cloudy-day,0,55.45,Partly Cloudy
2013-04-21,clear-day,0,49.09,Clear
2013-04-24,partly-cloudy-day,0,64.42,Mostly Cloudy
2013-04-28,clear-day,0,67.26,Clear
2013-05-11,cloudy,0,70.9,Overcast
2013-05-12,cloudy,0.0003,65.42,Overcast
2013-05-25,rain,0.0035,51.76,Possible Drizzle
2013-05-26,cloudy,0,55.34,Overcast
2013-06-08,partly-cloudy-day,0,70.66,Mostly Cloudy
2013-06-09,partly-cloudy-day,0,77.45,Partly Cloudy
2013-06-18,partly-cloudy-day,0,74.59,Mostly Cloudy
2013-06-26,cloudy,0.0009,81.39,Overcast
2013-06-29,partly-cloudy-day,0,79.62,Mostly Cloudy
2013-06-30,partly-cloudy-day,0,83.33,Partly Cloudy
2013-07-04,partly-cloudy-day,0,90.69,Humid and Partly Cloudy
2013-07-20,partly-cloudy-day,0,91.96,Humid and Mostly Cloudy
2013-08-04,partly-cloudy-day,0,77.66,Partly Cloudy
2013-08-17,partly-cloudy-day,0,77.32,Mostly Cloudy
2013-09-01,rain,0.0308,73.17,Light Rain
2013-09-02,cloudy,0.0034,78.61,Humid and Overcast
2013-09-14,cloudy,0,65.58,Overcast
2013-09-22,partly-cloudy-day,0,68.06,Partly Cloudy
2014-04-04,partly-cloudy-day,0,46.35,Mostly Cloudy
2014-04-06,clear-day,0,50.75,Clear
2014-04-09,cloudy,0,55.82,Overcast
2014-04-19,partly-cloudy-day,0,59.72,Partly Cloudy
2014-04-21,clear-day,0,64.32,Clear
2014-05-01,fog,0,54.22,Foggy
2014-05-03,cloudy,0,65.71,Overcast
2014-05-04,cloudy,0,58.99,Overcast
2014-05-22,partly-cloudy-day,0,62.52,Mostly Cloudy
2014-06-01,clear-day,0,73.22,Clear
2014-06-14,cloudy,0,69.42,Overcast
2014-06-15,partly-cloudy-day,0,75.79,Partly Cloudy
2014-06-18,partly-cloudy-day,0,82.99,Partly Cloudy
2014-07-05,clear-day,0,75.01,Clear
2014-07-06,partly-cloudy-day,0,82.06,Partly Cloudy
2014-07-10,partly-cloudy-day,0,79.58,Partly Cloudy
2014-07-20,partly-cloudy-day,0,73.47,Mostly Cloudy
2014-08-02,cloudy,0.0013,68.23,Overcast
2014-08-17,partly-cloudy-day,0,76.98,Mostly Cloudy
2014-08-23,partly-cloudy-day,0,71.53,Mostly Cloudy
2014-08-24,partly-cloudy-day,0,77.07,Partly Cloudy
2014-09-07,clear-day,0,74.13,Clear
2014-09-10,partly-cloudy-day,0,69.81,Mostly Cloudy
2014-09-27,clear-day,0,80.46,Clear
2014-09-28,clear-day,0,83.57,Clear
2015-04-13,clear-day,0,70.15,Clear
2015-04-15,clear-day,0,65.77,Clear
2015-04-18,clear-day,0,62.35,Clear
2015-04-19,partly-cloudy-day,0,54.05,Partly Cloudy
2015-04-20,rain,0.0201,44.57,Light Rain
2015-05-02,clear-day,0,58.95,Clear
2015-05-24,clear-day,0,79.71,Clear
2015-06-03,cloudy,0,56.53,Overcast
2015-06-04,partly-cloudy-day,0,62.39,Mostly Cloudy
2015-06-06,partly-cloudy-day,0,68.45,Mostly Cloudy
2015-06-07,clear-day,0,71.39,Clear
2015-06-13,partly-cloudy-day,0,79.39,Partly Cloudy
2015-06-14,clear-day,0,76.18,Clear
2015-06-16,cloudy,0,69.62,Overcast
2015-06-25,partly-cloudy-day,0,79.17,Partly Cloudy
2015-07-04,cloudy,0,74.96,Overcast
2015-07-05,partly-cloudy-day,0,81.45,Partly Cloudy
2015-07-12,partly-cloudy-day,0,87.39,Partly Cloudy
2015-07-25,partly-cloudy-day,0,68.73,Mostly Cloudy
2015-08-01,partly-cloudy-day,0,86.23,Mostly Cloudy
2015-08-02,partly-cloudy-day,0,83.94,Partly Cloudy
2015-08-15,partly-cloudy-day,0,88.12,Partly Cloudy
2015-08-16,clear-day,0,86.04,Clear
2015-08-23,cloudy,0,71.31,Overcast
2015-09-02,clear-day,0,86.96,Clear
2015-09-05,clear-day,0,76.27,Clear
2015-09-06,clear-day,0,84.17,Clear
