,Icon,Precipitation,Temperature,Summary
2009-04-13,rain,0.0555,37.65,Light Rain
2009-04-15,cloudy,0,50.84,Overcast
2009-04-16,clear-day,0,60.28,Clear
2009-04-17,clear-day,0,66.43,Clear
2009-04-18,partly-cloudy-day,0,71.79,Mostly Cloudy
2009-04-23,partly-cloudy-day,0,59.02,Partly Cloudy
2009-05-01,cloudy,0,53.65,Overcast
2009-05-02,partly-cloudy-day,0,63.76,Mostly Cloudy
2009-05-03,partly-cloudy-day,0,68.39,Mostly Cloudy
2009-05-05,partly-cloudy-day,0,68.96,Mostly Cloudy
2009-05-14,clear-day,0,65.47,Clear
2009-05-16,partly-cloudy-day,0,60.84,Partly Cloudy
2009-05-17,clear-day,0,58.32,Clear
2009-05-27,cloudy,0,65.96,Overcast
2009-05-29,partly-cloudy-day,0,73.55,Mostly Cloudy
2009-05-30,partly-cloudy-day,0,65.26,Mostly Cloudy
2009-06-12,partly-cloudy-day,0,69.55,Partly Cloudy
2009-06-13,rain,0.0073,57.85,Possible Drizzle
2009-06-14,partly-cloudy-day,0,72.43,Partly Cloudy
2009-06-17,cloudy,0,67.93,Overcast
2009-06-18,partly-cloudy-day,0,77.89,Mostly Cloudy
2009-06-19,rain,0.0794,71.63,Possible Light Rain
2009-06-20,partly-cloudy-day,0,84.98,Partly Cloudy
2009-06-21,partly-cloudy-day,0,81.86,Mostly Cloudy
2009-07-03,partly-cloudy-day,0,73.88,Mostly Cloudy
2009-07-04,cloudy,0,68.29,Overcast
2009-07-05,partly-cloudy-day,0,78.18,Partly Cloudy
2009-07-08,cloudy,0.0027,64.1,Overcast
2009-07-10,rain,0.0395,70.04,Light Rain
2009-07-11,partly-cloudy-day,0,81.79,Partly Cloudy
2009-07-12,partly-cloudy-day,0,77.87,Partly Cloudy
2009-07-24,partly-cloudy-day,0,81.18,Mostly Cloudy
2009-07-25,partly-cloudy-day,0,78.68,Mostly Cloudy
2009-07-26,partly-cloudy-day,0,78.15,Mostly Cloudy
2009-07-29,partly-cloudy-day,0,72.33,Partly Cloudy
2009-07-30,partly-cloudy-day,0,76.03,Mostly Cloudy
2009-08-13,partly-cloudy-day,0,82.36,Partly Cloudy
2009-08-14,partly-cloudy-day,0,85.46,Partly Cloudy
2009-08-15,partly-cloudy-day,0,86.61,Mostly Cloudy
2009-08-27,cloudy,0.0022,64.7,Overcast
2009-08-28,cloudy,0.0003,67.72,Overcast
2009-08-29,partly-cloudy-day,0,64.82,Mostly Cloudy
2009-08-30,partly-cloudy-day,0,64.27,Partly Cloudy
2009-09-02,partly-cloudy-day,0,71.01,Partly Cloudy
2009-09-03,partly-cloudy-day,0,73.08,Partly Cloudy
2009-09-11,partly-cloudy-day,0,76.96,Partly Cloudy
2009-09-12,partly-cloudy-day,0,75.81,Mostly Cloudy
2009-09-13,partly-cloudy-day,0,76.32,Partly Cloudy
2009-09-17,partly-cloudy-day,0,69.06,Mostly Cloudy
2009-09-30,partly-cloudy-day,0,57.54,Partly Cloudy
2009-10-02,cloudy,0,52.46,Overcast
2009-10-03,partly-cloudy-day,0,57.39,Mostly Cloudy
2009-10-04,partly-cloudy-day,0,57.02,Mostly Cloudy
2010-04-12,partly-cloudy-day,0,67.26,Mostly Cloudy
2010-04-14,partly-cloudy-day,0,76.02,Partly Cloudy
2010-04-15,partly-cloudy-day,0,81.49,Mostly Cloudy
2010-04-16,partly-cloudy-day,0,63.94,Mostly Cloudy
2010-04-17,clear-day,0,54.35,Clear
2010-04-18,clear-day,0,50.62,Clear
2010-04-28,partly-cloudy-day,0,60.14,Partly Cloudy
2010-04-29,partly-cloudy-day,0,71,Partly Cloudy
2010-04-30,partly-cloudy-day,0,79.67,Mostly Cloudy
2010-05-01,partly-cloudy-day,0,70.62,Mostly Cloudy
2010-05-02,partly-cloudy-day,0,67.61,Mostly Cloudy
2010-05-12,cloudy,0,48.48,Overcast
2010-05-14,partly-cloudy-day,0,65.1,Partly Cloudy
2010-05-15,partly-cloudy-day,0,60.12,Mostly Cloudy
2010-05-16,partly-cloudy-day,0,63.28,Partly Cloudy
2010-05-27,partly-cloudy-day,0,73.48,Mostly Cloudy
2010-05-28,clear-day,0,72.98,Clear
2010-05-29,partly-cloudy-day,0,80.51,Partly Cloudy
2010-05-30,partly-cloudy-day,0,88.65,Partly Cloudy
2010-06-11,cloudy,0.002,84.34,Humid and Overcast
2010-06-12,rain,0.0169,65.46,Light Rain
2010-06-17,partly-cloudy-day,0,79.74,Mostly Cloudy
2010-06-18,partly-cloudy-day,0,88.64,Partly Cloudy
2010-06-19,clear-day,0,83.95,Clear
2010-06-20,partly-cloudy-day,0,76.08,Mostly Cloudy
2010-06-30,partly-cloudy-day,0,73.79,Partly Cloudy
2010-07-01,clear-day,0,73.27,Clear
2010-07-02,clear-day,0,80.54,Clear
2010-07-03,clear-day,0,83.65,Clear
2010-07-04,partly-cloudy-day,0,89.03,Partly Cloudy
2010-07-16,clear-day,0,89.14,Clear
2010-07-17,partly-cloudy-day,0,88.95,Partly Cloudy
2010-07-21,partly-cloudy-day,0,87.11,Mostly Cloudy
2010-07-23,partly-cloudy-day,0,89.43,Partly Cloudy
2010-07-24,partly-cloudy-day,0,81.46,Partly Cloudy
2010-08-04,partly-cloudy-day,0.0013,81.36,Humid and Mostly Cloudy
2010-08-06,partly-cloudy-day,0,79.48,Partly Cloudy
2010-08-07,partly-cloudy-day,0,80.58,Mostly Cloudy
2010-08-08,rain,0.0194,73.19,Light Rain
2010-08-18,partly-cloudy-day,0,78.38,Partly Cloudy
2010-08-19,partly-cloudy-day,0,85.38,Partly Cloudy
2010-08-20,partly-cloudy-day,0,90.2,Partly Cloudy
2010-08-21,partly-cloudy-day,0,80.98,Mostly Cloudy
2010-08-22,partly-cloudy-day,0,77.85,Partly Cloudy
2010-09-01,cloudy,0,77.66,Overcast
2010-09-03,partly-cloudy-day,0,69.15,Mostly Cloudy
2010-09-04,partly-cloudy-day,0,65.33,Partly Cloudy
2010-09-05,partly-cloudy-day,0,71.25,Mostly Cloudy
2010-09-06,partly-cloudy-day,0,76.54,Partly Cloudy
2010-09-24,partly-cloudy-day,0,62.87,Mostly Cloudy
2010-09-25,partly-cloudy-day,0,57.57,Partly Cloudy
2010-09-26,partly-cloudy-day,0,58.16,Mostly Cloudy
2011-04-01,cloudy,0.0064,41.59,Overcast
2011-04-02,partly-cloudy-day,0,48.53,Mostly Cloudy
2011-04-03,partly-cloudy-day,0,64.14,Mostly Cloudy
2011-04-04,cloudy,0,47.67,Overcast
2011-04-05,partly-cloudy-day,0,47.01,Mostly Cloudy
2011-04-06,partly-cloudy-day,0,55.66,Mostly Cloudy
2011-04-20,cloudy,0,42.43,Overcast
2011-04-22,rain,0.0231,41.92,Light Rain
2011-04-23,partly-cloudy-day,0,64.61,Partly Cloudy
2011-04-24,partly-cloudy-day,0,54.9,Mostly Cloudy
2011-05-06,partly-cloudy-day,0,65.49,Mostly Cloudy
2011-05-07,cloudy,0,58.28,Overcast
2011-05-08,partly-cloudy-day,0,63.77,Partly Cloudy
2011-05-12,partly-cloudy-day,0,83.81,Mostly Cloudy
2011-05-13,partly-cloudy-day,0,63.25,Mostly Cloudy
2011-05-26,cloudy,0,45.17,Overcast
2011-05-27,partly-cloudy-day,0,56.58,Partly Cloudy
2011-05-28,cloudy,0,62.73,Overcast
2011-05-29,rain,0.1773,60.38,Rain
2011-05-30,partly-cloudy-day,0,87.37,Partly Cloudy
2011-06-01,partly-cloudy-day,0,78.4,Partly Cloudy
2011-06-16,partly-cloudy-day,0,75.54,Mostly Cloudy
2011-06-17,partly-cloudy-day,0,77.84,Partly Cloudy
2011-06-18,partly-cloudy-day,0,80.28,Mostly Cloudy
2011-06-27,partly-cloudy-day,0,77.22,Mostly Cloudy
2011-06-28,clear-day,0,76.78,Clear
2011-06-30,partly-cloudy-day,0,85.56,Mostly Cloudy
2011-07-01,cloudy,0,76.57,Overcast
2011-07-02,partly-cloudy-day,0,90.83,Humid and Mostly Cloudy
2011-07-03,partly-cloudy-day,0,80.62,Mostly Cloudy
2011-07-15,partly-cloudy-day,0,85.36,Partly Cloudy
2011-07-16,partly-cloudy-day,0,84.51,Mostly Cloudy
2011-07-17,partly-cloudy-day,0,92.18,Partly Cloudy
2011-07-20,partly-cloudy-day,0,97.06,Humid and Mostly Cloudy
2011-07-22,rain,0.0078,75.3,Drizzle and Humid
2011-07-23,partly-cloudy-day,0,78.91,Mostly Cloudy
2011-07-24,partly-cloudy-day,0.0005,80.71,Mostly Cloudy
2011-08-05,partly-cloudy-day,0,82.19,Mostly Cloudy
2011-08-06,cloudy,0,81.77,Humid and Overcast
2011-08-07,partly-cloudy-day,0,82.14,Partly Cloudy
2011-08-11,partly-cloudy-day,0,78.66,Partly Cloudy
2011-08-19,partly-cloudy-day,0,84.06,Partly Cloudy
2011-08-20,rain,0.108,68.72,Rain
2011-08-25,partly-cloudy-day,0,78.36,Partly Cloudy
2011-09-02,partly-cloudy-day,0,92.15,Partly Cloudy
2011-09-03,partly-cloudy-day,0,85.95,Partly Cloudy
2011-09-04,partly-cloudy-day,0,71.72,Mostly Cloudy
2011-09-05,partly-cloudy-day,0,63.79,Mostly Cloudy
2011-09-16,cloudy,0,58.09,Overcast
2011-09-17,partly-cloudy-day,0,66.53,Partly Cloudy
2011-09-18,rain,0.0045,60.77,Possible Drizzle
2011-09-21,partly-cloudy-day,0,70.44,Partly Cloudy
2012-04-05,partly-cloudy-day,0,47.25,Partly Cloudy
2012-04-07,partly-cloudy-day,0,63.64,Partly Cloudy
2012-04-08,clear-day,0,62.28,Clear
2012-04-11,partly-cloudy-day,0,48.93,Partly Cloudy
2012-04-12,partly-cloudy-day,0,58.92,Partly Cloudy
2012-04-20,cloudy,0,43.86,Overcast
2012-04-21,partly-cloudy-day,0,49.19,Partly Cloudy
2012-04-22,partly-cloudy-day,0,48.1,Partly Cloudy
2012-04-25,rain,0.0041,56.61,Possible Drizzle
2012-05-04,partly-cloudy-day,0,61.03,Mostly Cloudy
2012-05-05,cloudy,0,54.61,Overcast
2012-05-06,rain,0.062,60.44,Light Rain
2012-05-09,partly-cloudy-day,0.0002,56.87,Mostly Cloudy
2012-05-18,clear-day,0,78.91,Clear
2012-05-20,partly-cloudy-day,0,89.46,Mostly Cloudy
2012-05-28,partly-cloudy-day,0,91.49,Mostly Cloudy
2012-05-29,partly-cloudy-day,0,81.06,Partly Cloudy
2012-05-30,partly-cloudy-day,0,66.3,Mostly Cloudy
2012-06-14,partly-cloudy-day,0,81.74,Partly Cloudy
2012-06-15,partly-cloudy-day,0,88.68,Partly Cloudy
2012-06-27,clear-day,0,86.82,Clear
2012-06-29,rain,0.0598,70.27,Light Rain
2012-06-30,partly-cloudy-day,0,86.89,Partly Cloudy
2012-07-01,cloudy,0.0307,76.63,Overcast
2012-07-14,partly-cloudy-day,0,86.92,Mostly Cloudy
2012-07-15,partly-cloudy-day,0,90.82,Mostly Cloudy
2012-07-19,cloudy,0,81.24,Humid and Overcast
2012-07-27,partly-cloudy-day,0,82.65,Partly Cloudy
