,index,Year,Team,GameNo,D/N,Attendance,API DATE Format,Capacity,Attendance Rate,Icon,Precipitation,Temperature,Summary
0,80,2009,BOS,1,D,37057,2009-04-07,36984,100.19738265195761,cloudy,0.0,47.67,Overcast
1,82,2009,BOS,3,D,37784,2009-04-09,36984,102.16309755569976,partly-cloudy-day,0.0,58.28,Partly Cloudy
2,85,2009,BOS,12,D,37869,2009-04-19,36984,102.39292667099286,clear-day,0.0,52.93,Clear
3,86,2009,BOS,13,D,37865,2009-04-20,36984,102.38211118321436,clear-day,0.0,51.57,Clear
20,247,2010,BOS,12,D,37143,2010-04-18,36986,100.42448494024767,cloudy,0.0011,48.42,Overcast
21,248,2010,BOS,13,D,37609,2010-04-19,36986,101.68442113232034,cloudy,0.0,54.26,Overcast
23,260,2010,BOS,31,D,37138,2010-05-08,36986,100.41096631157735,rain,0.1115,54.5,Rain
24,264,2010,BOS,35,D,37198,2010-05-12,36986,100.57318985562105,partly-cloudy-day,0.0,51.7,Mostly Cloudy
40,322,2010,BOS,162,D,37453,2010-10-03,36986,101.26263991780674,cloudy,0.0,56.23,Overcast
41,404,2011,BOS,7,D,37178,2011-04-08,37065,100.30486982328341,clear-day,0.0,51.59,Clear
42,405,2011,BOS,8,D,37488,2011-04-09,37065,101.1412383650344,clear-day,0.0,59.09,Clear
43,410,2011,BOS,13,D,37310,2011-04-16,37065,100.66100094428705,partly-cloudy-day,0.0,44.18,Mostly Cloudy
44,411,2011,BOS,14,D,37802,2011-04-17,37065,101.988398758937,partly-cloudy-day,0.0033,56.79,Mostly Cloudy
45,412,2011,BOS,15,D,37916,2011-04-18,37065,102.29596654525832,clear-day,0.0,56.6,Clear
46,415,2011,BOS,27,D,37079,2011-05-01,37065,100.03777148253069,clear-day,0.0,56.85,Clear
47,419,2011,BOS,31,D,37013,2011-05-05,37065,99.85970592202887,cloudy,0.0,54.43,Overcast
49,422,2011,BOS,34,D,37526,2011-05-08,37065,101.24376096047483,partly-cloudy-day,0.0,57.84,Mostly Cloudy
69,566,2012,BOS,7,D,37032,2012-04-13,37067,99.90557638870153,partly-cloudy-day,0.0,59.77,Partly Cloudy
75,578,2012,BOS,26,D,37581,2012-05-05,37067,101.38667817735451,cloudy,0.0,59.3,Overcast
76,579,2012,BOS,27,D,37394,2012-05-06,37067,100.88218631127418,partly-cloudy-day,0.0,56.2,Mostly Cloudy
95,731,2013,BOS,10,D,33039,2013-04-13,37071,89.12357368293274,cloudy,0.0,47.98,Overcast
96,732,2013,BOS,11,D,35198,2013-04-14,37071,94.94753311213617,partly-cloudy-day,0.0,50.81,Mostly Cloudy
97,733,2013,BOS,12,D,37449,2013-04-15,37071,101.01966496722505,partly-cloudy-day,0.0,54.47,Partly Cloudy
98,734,2013,BOS,16,D,35152,2013-04-20,37071,94.82344689919343,partly-cloudy-day,0.0,55.45,Partly Cloudy
99,735,2013,BOS,17,D,31483,2013-04-21,37071,84.92622265382644,clear-day,0.0,49.09,Clear
104,753,2013,BOS,50,D,36504,2013-05-25,37071,98.47050254916242,rain,0.0035,51.76,Possible Drizzle
105,754,2013,BOS,51,D,37046,2013-05-26,37071,99.93256184079199,cloudy,0.0,55.34,Overcast
120,890,2014,BOS,4,D,36728,2014-04-04,37071,99.07474845566615,partly-cloudy-day,0.0,46.35,Mostly Cloudy
121,892,2014,BOS,6,D,35958,2014-04-06,37071,96.99765315205956,clear-day,0.0,50.75,Clear
122,895,2014,BOS,9,D,33585,2014-04-09,37071,90.5964230800356,cloudy,0.0,55.82,Overcast
123,897,2014,BOS,18,D,37689,2014-04-19,37071,101.66707129562191,partly-cloudy-day,0.0,59.72,Partly Cloudy
125,904,2014,BOS,28,D,35621,2014-05-01,37071,96.08858676593563,fog,0.0,54.22,Foggy
127,908,2014,BOS,32,D,35649,2014-05-04,37071,96.1641175042486,cloudy,0.0,58.99,Overcast
148,1057,2015,BOS,12,D,37761,2015-04-19,37227,101.43444274317028,partly-cloudy-day,0.0,54.05,Partly Cloudy
149,1058,2015,BOS,13,D,36829,2015-04-20,37227,98.930883498536,rain,0.0201,44.57,Light Rain
150,1063,2015,BOS,24,D,36611,2015-05-02,37227,98.34528702285975,clear-day,0.0,58.95,Clear
152,1075,2015,BOS,53,D,31704,2015-06-03,37227,85.163993875413,cloudy,0.0,56.53,Overcast
175,1214,2016,BOS,6,D,37160,2016-04-11,37497,99.10126143424807,cloudy,0.0,55.96,Overcast
176,1218,2016,BOS,10,D,36267,2016-04-16,37497,96.71973757900632,partly-cloudy-day,0.0,53.5,Partly Cloudy
181,1235,2016,BOS,38,D,35736,2016-05-15,37497,95.3036242899432,partly-cloudy-day,0.0,58.25,Mostly Cloudy
198,1294,2016,BOS,162,D,36787,2016-10-02,37497,98.1065151878817,cloudy,0.0,55.41,Overcast
199,1376,2017,BOS,1,D,36594,2017-04-03,37281,98.1572382715056,clear-day,0.0,56.71,Clear
200,1380,2017,BOS,9,D,32400,2017-04-13,37281,86.90754003379739,partly-cloudy-day,0.0,53.56,Partly Cloudy
205,1395,2017,BOS,36,D,35447,2017-05-13,37281,95.08060406104987,partly-cloudy-day,0.0,53.97,Mostly Cloudy
206,1396,2017,BOS,37,D,35080,2017-05-14,37281,94.09618840696334,rain,0.0123,47.47,Drizzle
220,1455,2017,BOS,161,D,35722,2017-09-30,37281,95.81824521874414,cloudy,0.006,55.06,Overcast
222,1539,2018,BOS,7,D,36134,2018-04-05,37305,96.86101058839297,clear-day,0.0,39.49,Clear
223,1540,2018,BOS,8,D,31821,2018-04-07,37305,85.29955770004021,partly-cloudy-day,0.0,42.99,Partly Cloudy
224,1541,2018,BOS,9,D,31979,2018-04-08,37305,85.72309341911271,partly-cloudy-day,0.0,40.78,Mostly Cloudy
225,1546,2018,BOS,14,D,33584,2018-04-14,37305,90.02546575526068,cloudy,0.0,52.17,Overcast
226,1547,2018,BOS,15,D,32489,2018-04-15,37305,87.09020238573918,cloudy,0.0,33.57,Overcast
228,1550,2018,BOS,27,D,32888,2018-04-29,37305,88.15976410668812,rain,0.0031,55.47,Possible Drizzle
232,1563,2018,BOS,53,D,36543,2018-05-27,37305,97.95737836751105,cloudy,0.0,55.21,Overcast
233,1564,2018,BOS,54,D,34700,2018-05-28,37305,93.01702184693741,cloudy,0.0,56.33,Overcast
241,1594,2018,BOS,112,D,36699,2018-08-04,37305,98.37555287494973,rain,0.1707,73.58,Rain
246,81,2009,BOS,2,N,37552,2009-04-08,37400,100.40641711229947,cloudy,0.0,44.41,Overcast
248,84,2009,BOS,11,N,37559,2009-04-18,37400,100.42513368983957,partly-cloudy-day,0.0,54.3,Mostly Cloudy
249,88,2009,BOS,15,N,37494,2009-04-22,37400,100.25133689839572,rain,0.0153,50.16,Drizzle
261,103,2009,BOS,55,N,37519,2009-06-05,37400,100.31818181818181,partly-cloudy-day,0.0006,58.52,Mostly Cloudy
263,106,2009,BOS,58,N,37883,2009-06-09,37400,101.29144385026737,fog,0.0,54.37,Foggy
264,107,2009,BOS,59,N,38121,2009-06-10,37400,101.92780748663101,cloudy,0.0,59.79,Overcast
265,108,2009,BOS,60,N,38153,2009-06-11,37400,102.0133689839572,cloudy,0.0,58.78,Overcast
293,144,2009,BOS,129,N,37452,2009-08-29,37400,100.13903743315507,rain,0.0335,59.27,Light Rain
299,152,2009,BOS,144,N,37706,2009-09-16,37400,100.81818181818181,partly-cloudy-day,0.0,59.59,Mostly Cloudy
300,153,2009,BOS,145,N,38157,2009-09-17,37400,102.02406417112299,partly-cloudy-day,0.0,58.32,Mostly Cloudy
303,156,2009,BOS,158,N,37246,2009-09-30,37400,99.58823529411764,cloudy,0.0,53.16,Overcast
304,157,2009,BOS,159,N,37459,2009-10-01,37400,100.15775401069519,cloudy,0.0,52.74,Overcast
305,158,2009,BOS,160,N,37787,2009-10-02,37400,101.03475935828877,partly-cloudy-day,0.0,56.64,Mostly Cloudy
310,245,2010,BOS,10,N,37084,2010-04-16,37402,99.14977808673332,rain,0.0038,41.32,Possible Drizzle
311,246,2010,BOS,11,N,37022,2010-04-17,37402,98.98401155018448,cloudy,0.0,41.03,Overcast
315,252,2010,BOS,17,N,37367,2010-04-23,37402,99.90642211646436,partly-cloudy-day,0.0,57.23,Mostly Cloudy
322,261,2010,BOS,32,N,37618,2010-05-09,37402,100.57750922410565,partly-cloudy-day,0.0,51.03,Mostly Cloudy
323,262,2010,BOS,33,N,37332,2010-05-10,37402,99.81284423292871,clear-day,0.0,55.39,Clear
324,263,2010,BOS,34,N,37609,2010-05-11,37402,100.55344633976792,clear-day,0.0,56.03,Clear
325,265,2010,BOS,41,N,37426,2010-05-19,37402,100.06416769156729,rain,0.0035,53.74,Possible Drizzle
367,406,2011,BOS,9,N,37861,2011-04-10,37493,100.98151654975595,clear-day,0.0,59.35,Clear
369,408,2011,BOS,11,N,37015,2011-04-12,37493,98.72509535113221,clear-day,0.0,58.52,Clear
370,409,2011,BOS,12,N,37467,2011-04-15,37493,99.93065372202811,clear-day,0.0,43.63,Clear
375,418,2011,BOS,30,N,37037,2011-05-04,37493,98.78377297095457,rain,0.045,56.95,Light Rain
378,424,2011,BOS,41,N,37138,2011-05-16,37493,99.05315658922999,rain,0.0147,47.87,Drizzle
